Gene.name.mouse,Gene.stable.ID.mouse,Gene.description.mouse,Chromosome.scaffold.name.mouse,Gene.start..bp.mouse,Gene.end..bp.mouse,Strand.mouse,homology.type,orthology.confidence..0.low..1.high.,Gene.name.human,Gene.stable.ID.human,Gene.description.human,Chromosome.scaffold.name.human,Gene.start..bp.human,Gene.end..bp.human,Strand.1.human
Rnf5,ENSMUSG00000015478,ring finger protein 5 [Source:MGI Symbol;Acc:MGI:1860076],17,34820065,34822664,-1,ortholog_one2one,1,RNF5,ENSG00000204308,ring finger protein 5 [Source:HGNC Symbol;Acc:HGNC:10068],6,32178405,32180793,1
Plcl2,ENSMUSG00000038910,phospholipase C-like 2 [Source:MGI Symbol;Acc:MGI:1352756],17,50816431,50995512,1,ortholog_one2one,1,PLCL2,ENSG00000154822,phospholipase C like 2 [Source:HGNC Symbol;Acc:HGNC:9064],3,16802651,17090604,1
Rer1,ENSMUSG00000029048,retention in endoplasmic reticulum sorting receptor 1 [Source:MGI Symbol;Acc:MGI:1915080],4,155158567,155170839,-1,ortholog_one2one,1,RER1,ENSG00000157916,retention in endoplasmic reticulum sorting receptor 1 [Source:HGNC Symbol;Acc:HGNC:30309],1,2391775,2405442,1
Lrrn1,ENSMUSG00000034648,"leucine rich repeat protein 1, neuronal [Source:MGI Symbol;Acc:MGI:106038]",6,107506729,107547175,1,ortholog_one2one,1,LRRN1,ENSG00000175928,leucine rich repeat neuronal 1 [Source:HGNC Symbol;Acc:HGNC:20980],3,3799431,3849834,1
Mogat2,ENSMUSG00000052396,monoacylglycerol O-acyltransferase 2 [Source:MGI Symbol;Acc:MGI:2663253],7,98868291,98887826,-1,ortholog_one2one,1,MOGAT2,ENSG00000166391,monoacylglycerol O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:23248],11,75717838,75732958,1
Tm7sf3,ENSMUSG00000040234,transmembrane 7 superfamily member 3 [Source:MGI Symbol;Acc:MGI:1914873],6,146503850,146544322,-1,ortholog_one2one,1,TM7SF3,ENSG00000064115,transmembrane 7 superfamily member 3 [Source:HGNC Symbol;Acc:HGNC:23049],12,26971579,27014434,-1
Kpna7,ENSMUSG00000038770,karyopherin alpha 7 (importin alpha 8) [Source:MGI Symbol;Acc:MGI:2141165],5,144920329,145020840,-1,ortholog_one2one,1,KPNA7,ENSG00000185467,karyopherin subunit alpha 7 [Source:HGNC Symbol;Acc:HGNC:21839],7,99173572,99250075,-1
Tor4a,ENSMUSG00000059555,"torsin family 4, member A [Source:MGI Symbol;Acc:MGI:2442720]",2,25082978,25086898,-1,ortholog_one2one,1,TOR4A,ENSG00000198113,torsin family 4 member A [Source:HGNC Symbol;Acc:HGNC:25981],9,137277726,137282641,1
Zfp28,ENSMUSG00000062861,zinc finger protein 28 [Source:MGI Symbol;Acc:MGI:99175],7,6386294,6399914,1,ortholog_one2one,1,ZFP28,ENSG00000196867,ZFP28 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:17801],19,56538948,56556808,1
Triqk,ENSMUSG00000055963,triple QxxK/R motif containing [Source:MGI Symbol;Acc:MGI:3650048],4,12906838,12983553,1,ortholog_one2one,1,TRIQK,ENSG00000205133,triple QxxK/R motif containing [Source:HGNC Symbol;Acc:HGNC:27828],8,92883532,93017673,-1
Bin2,ENSMUSG00000098112,bridging integrator 2 [Source:MGI Symbol;Acc:MGI:3611448],15,100538958,100567434,-1,ortholog_one2one,1,BIN2,ENSG00000110934,bridging integrator 2 [Source:HGNC Symbol;Acc:HGNC:1053],12,51281038,51324668,-1
Iglv3,ENSMUSG00000076939,immunoglobulin lambda variable 3 [Source:MGI Symbol;Acc:MGI:3645509],16,19059957,19060440,-1,ortholog_one2one,1,IGLV9-49,ENSG00000223350,immunoglobulin lambda variable 9-49 [Source:HGNC Symbol;Acc:HGNC:5933],22,22343187,22343732,1
Ghr,ENSMUSG00000055737,growth hormone receptor [Source:MGI Symbol;Acc:MGI:95708],15,3347242,3612974,-1,ortholog_one2one,1,GHR,ENSG00000112964,growth hormone receptor [Source:HGNC Symbol;Acc:HGNC:4263],5,42423439,42721878,1
Noxa1,ENSMUSG00000036805,NADPH oxidase activator 1 [Source:MGI Symbol;Acc:MGI:2449980],2,24975679,24985161,-1,ortholog_one2one,1,NOXA1,ENSG00000188747,NADPH oxidase activator 1 [Source:HGNC Symbol;Acc:HGNC:10668],9,137423350,137434406,1
Thsd1,ENSMUSG00000031480,"thrombospondin, type I, domain 1 [Source:MGI Symbol;Acc:MGI:1929096]",8,22717329,22751350,1,ortholog_one2one,1,THSD1,ENSG00000136114,thrombospondin type 1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17754],13,52377167,52416373,-1
Fkbpl,ENSMUSG00000033739,FK506 binding protein-like [Source:MGI Symbol;Acc:MGI:1932127],17,34863738,34865298,1,ortholog_one2one,1,FKBPL,ENSG00000204315,FKBP prolyl isomerase like [Source:HGNC Symbol;Acc:HGNC:13949],6,32128707,32130288,-1
Stam2,ENSMUSG00000055371,signal transducing adaptor molecule (SH3 domain and ITAM motif) 2 [Source:MGI Symbol;Acc:MGI:1929100],2,52581676,52632293,-1,ortholog_one2one,1,STAM2,ENSG00000115145,signal transducing adaptor molecule 2 [Source:HGNC Symbol;Acc:HGNC:11358],2,152116801,152175763,-1
Acap3,ENSMUSG00000029033,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3 [Source:MGI Symbol;Acc:MGI:2153589]",4,155976279,155991708,1,ortholog_one2one,1,ACAP3,ENSG00000131584,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3 [Source:HGNC Symbol;Acc:HGNC:16754]",1,1292390,1309609,-1
Nfatc3,ENSMUSG00000031902,"nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 3 [Source:MGI Symbol;Acc:MGI:103296]",8,106785472,106857169,1,ortholog_one2one,1,NFATC3,ENSG00000072736,nuclear factor of activated T cells 3 [Source:HGNC Symbol;Acc:HGNC:7777],16,68084751,68229259,1
Galnt11,ENSMUSG00000038072,polypeptide N-acetylgalactosaminyltransferase 11 [Source:MGI Symbol;Acc:MGI:2444392],5,25426902,25470916,1,ortholog_one2one,1,GALNT11,ENSG00000178234,polypeptide N-acetylgalactosaminyltransferase 11 [Source:HGNC Symbol;Acc:HGNC:19875],7,152025674,152122340,1
Selenos,ENSMUSG00000075701,selenoprotein S [Source:MGI Symbol;Acc:MGI:95994],7,65729397,65739153,1,ortholog_one2one,1,SELENOS,ENSG00000131871,selenoprotein S [Source:HGNC Symbol;Acc:HGNC:30396],15,101270817,101277500,-1
Hyal1,ENSMUSG00000010051,hyaluronoglucosaminidase 1 [Source:MGI Symbol;Acc:MGI:96298],9,107454126,107458909,1,ortholog_one2one,1,HYAL1,ENSG00000114378,hyaluronidase 1 [Source:HGNC Symbol;Acc:HGNC:5320],3,50299890,50312381,-1
Samd3,ENSMUSG00000051354,sterile alpha motif domain containing 3 [Source:MGI Symbol;Acc:MGI:2685469],10,26105605,26148070,1,ortholog_one2one,1,SAMD3,ENSG00000164483,sterile alpha motif domain containing 3 [Source:HGNC Symbol;Acc:HGNC:21574],6,130144315,130365425,-1
Cog5,ENSMUSG00000035933,component of oligomeric golgi complex 5 [Source:MGI Symbol;Acc:MGI:2145130],12,31704868,31987629,1,ortholog_one2one,1,COG5,ENSG00000164597,component of oligomeric golgi complex 5 [Source:HGNC Symbol;Acc:HGNC:14857],7,107201372,107564261,-1
Pggt1b,ENSMUSG00000024477,"protein geranylgeranyltransferase type I, beta subunit [Source:MGI Symbol;Acc:MGI:1917514]",18,46368418,46414060,-1,ortholog_one2one,1,PGGT1B,ENSG00000164219,protein geranylgeranyltransferase type I subunit beta [Source:HGNC Symbol;Acc:HGNC:8895],5,115204012,115262877,-1
Mir542,ENSMUSG00000076140,microRNA 542 [Source:MGI Symbol;Acc:MGI:3619431],X,52138280,52138364,-1,ortholog_one2one,1,MIR542,ENSG00000207784,microRNA 542 [Source:HGNC Symbol;Acc:HGNC:32534],X,134541341,134541437,-1
Crybg3,ENSMUSG00000022723,beta-gamma crystallin domain containing 3 [Source:MGI Symbol;Acc:MGI:2676311],16,59311138,59421342,-1,ortholog_one2one,1,CRYBG3,ENSG00000080200,crystallin beta-gamma domain containing 3 [Source:HGNC Symbol;Acc:HGNC:34427],3,97822011,97944984,1
Wdr5,ENSMUSG00000026917,WD repeat domain 5 [Source:MGI Symbol;Acc:MGI:2155884],2,27405169,27426547,1,ortholog_one2one,1,WDR5,ENSG00000196363,WD repeat domain 5 [Source:HGNC Symbol;Acc:HGNC:12757],9,134135365,134159968,1
Rps6ka4,ENSMUSG00000118668,"ribosomal protein S6 kinase, polypeptide 4 [Source:MGI Symbol;Acc:MGI:1930076]",19,6806578,6818004,-1,ortholog_one2one,1,RPS6KA4,ENSG00000162302,ribosomal protein S6 kinase A4 [Source:HGNC Symbol;Acc:HGNC:10433],11,64359148,64372215,1
Aadac,ENSMUSG00000027761,arylacetamide deacetylase [Source:MGI Symbol;Acc:MGI:1915008],3,59933138,59947581,1,ortholog_one2one,1,AADAC,ENSG00000114771,arylacetamide deacetylase [Source:HGNC Symbol;Acc:HGNC:17],3,151814073,151828488,1
Nab2,ENSMUSG00000025402,Ngfi-A binding protein 2 [Source:MGI Symbol;Acc:MGI:107563],10,127496787,127504437,-1,ortholog_one2one,1,NAB2,ENSG00000166886,NGFI-A binding protein 2 [Source:HGNC Symbol;Acc:HGNC:7627],12,57089043,57095476,1
Ttc28,ENSMUSG00000033209,tetratricopeptide repeat domain 28 [Source:MGI Symbol;Acc:MGI:2140873],5,111027669,111437646,1,ortholog_one2one,1,TTC28,ENSG00000100154,tetratricopeptide repeat domain 28 [Source:HGNC Symbol;Acc:HGNC:29179],22,27978014,28679840,-1
Fto,ENSMUSG00000055932,fat mass and obesity associated [Source:MGI Symbol;Acc:MGI:1347093],8,92040153,92395067,1,ortholog_one2one,1,FTO,ENSG00000140718,FTO alpha-ketoglutarate dependent dioxygenase [Source:HGNC Symbol;Acc:HGNC:24678],16,53701692,54158512,1
A830018L16Rik,ENSMUSG00000057715,RIKEN cDNA A830018L16 gene [Source:MGI Symbol;Acc:MGI:2444149],1,11484329,12046125,1,ortholog_one2one,1,C8orf34,ENSG00000165084,chromosome 8 open reading frame 34 [Source:HGNC Symbol;Acc:HGNC:30905],8,68330955,68819023,1
Cpsf6,ENSMUSG00000055531,cleavage and polyadenylation specific factor 6 [Source:MGI Symbol;Acc:MGI:1913948],10,117180578,117215920,-1,ortholog_one2one,1,CPSF6,ENSG00000111605,cleavage and polyadenylation specific factor 6 [Source:HGNC Symbol;Acc:HGNC:13871],12,69239569,69274358,1
Miga2,ENSMUSG00000026858,mitoguardin 2 [Source:MGI Symbol;Acc:MGI:1922035],2,30254245,30275533,1,ortholog_one2one,1,MIGA2,ENSG00000148343,mitoguardin 2 [Source:HGNC Symbol;Acc:HGNC:23621],9,129036621,129072082,1
Ms4a2,ENSMUSG00000024680,"membrane-spanning 4-domains, subfamily A, member 2 [Source:MGI Symbol;Acc:MGI:95495]",19,11592887,11601083,-1,ortholog_one2one,1,MS4A2,ENSG00000149534,membrane spanning 4-domains A2 [Source:HGNC Symbol;Acc:HGNC:7316],11,60088261,60098467,1
Mir96,ENSMUSG00000065586,microRNA 96 [Source:MGI Symbol;Acc:MGI:3619440],6,30169445,30169550,-1,ortholog_one2one,1,MIR96,ENSG00000199158,microRNA 96 [Source:HGNC Symbol;Acc:HGNC:31648],7,129774692,129774769,-1
Insm2,ENSMUSG00000045440,insulinoma-associated 2 [Source:MGI Symbol;Acc:MGI:1930787],12,55646212,55648871,1,ortholog_one2one,1,INSM2,ENSG00000168348,INSM transcriptional repressor 2 [Source:HGNC Symbol;Acc:HGNC:17539],14,35534164,35537054,1
Eefsec,ENSMUSG00000033216,"eukaryotic elongation factor, selenocysteine-tRNA-specific [Source:MGI Symbol;Acc:MGI:2137092]",6,88234316,88423521,-1,ortholog_one2one,1,EEFSEC,ENSG00000132394,"eukaryotic elongation factor, selenocysteine-tRNA specific [Source:HGNC Symbol;Acc:HGNC:24614]",3,128153481,128408646,1
Tmem201,ENSMUSG00000044700,transmembrane protein 201 [Source:MGI Symbol;Acc:MGI:1196277],4,149799832,149822501,-1,ortholog_one2one,1,TMEM201,ENSG00000188807,transmembrane protein 201 [Source:HGNC Symbol;Acc:HGNC:33719],1,9588911,9614877,1
Ncoa4,ENSMUSG00000056234,nuclear receptor coactivator 4 [Source:MGI Symbol;Acc:MGI:1350932],14,31881822,31901812,1,ortholog_one2one,1,NCOA4,ENSG00000266412,nuclear receptor coactivator 4 [Source:HGNC Symbol;Acc:HGNC:7671],10,46005088,46030623,-1
Cd22,ENSMUSG00000030577,CD22 antigen [Source:MGI Symbol;Acc:MGI:88322],7,30564827,30579767,-1,ortholog_one2one,1,CD22,ENSG00000012124,CD22 molecule [Source:HGNC Symbol;Acc:HGNC:1643],19,35319261,35347361,1
Olfr1234,ENSMUSG00000075090,olfactory receptor 1234 [Source:MGI Symbol;Acc:MGI:3031068],2,89190357,89195209,-1,ortholog_one2one,1,OR4A15,ENSG00000181958,olfactory receptor family 4 subfamily A member 15 [Source:HGNC Symbol;Acc:HGNC:15152],11,55367974,55368918,1
Aplf,ENSMUSG00000030051,aprataxin and PNKP like factor [Source:MGI Symbol;Acc:MGI:1919353],6,87605406,87649175,-1,ortholog_one2one,1,APLF,ENSG00000169621,aprataxin and PNKP like factor [Source:HGNC Symbol;Acc:HGNC:28724],2,68467572,68655862,1
F9,ENSMUSG00000031138,coagulation factor IX [Source:MGI Symbol;Acc:MGI:88384],X,59044824,59076119,1,ortholog_one2one,1,F9,ENSG00000101981,coagulation factor IX [Source:HGNC Symbol;Acc:HGNC:3551],X,139530739,139563459,1
Snord73a,ENSMUSG00000064984,"small nucleolar RNA, C/D box U73A [Source:MGI Symbol;Acc:MGI:1321388]",3,86046098,86046165,-1,ortholog_one2one,1,SNORD73A,ENSG00000208797,"small nucleolar RNA, C/D box 73A [Source:HGNC Symbol;Acc:HGNC:10235]",4,151103827,151103891,1
Gpr176,ENSMUSG00000040133,G protein-coupled receptor 176 [Source:MGI Symbol;Acc:MGI:2685858],2,118107591,118203900,-1,ortholog_one2one,1,GPR176,ENSG00000166073,G protein-coupled receptor 176 [Source:HGNC Symbol;Acc:HGNC:32370],15,39799008,39920266,-1
Fen1,ENSMUSG00000024742,flap structure specific endonuclease 1 [Source:MGI Symbol;Acc:MGI:102779],19,10176496,10181533,-1,ortholog_one2one,1,FEN1,ENSG00000168496,flap structure-specific endonuclease 1 [Source:HGNC Symbol;Acc:HGNC:3650],11,61792911,61797238,1
Ms4a5,ENSMUSG00000054523,"membrane-spanning 4-domains, subfamily A, member 5 [Source:MGI Symbol;Acc:MGI:2670985]",19,11250602,11261237,-1,ortholog_one2one,1,MS4A5,ENSG00000166930,membrane spanning 4-domains A5 [Source:HGNC Symbol;Acc:HGNC:13374],11,60429572,60455214,1
Yjefn3,ENSMUSG00000048967,YjeF N-terminal domain containing 3 [Source:MGI Symbol;Acc:MGI:2681845],8,70340438,70355362,-1,ortholog_one2one,1,YJEFN3,ENSG00000250067,YjeF N-terminal domain containing 3 [Source:HGNC Symbol;Acc:HGNC:24785],19,19528861,19537581,1
Wtip,ENSMUSG00000036459,WT1-interacting protein [Source:MGI Symbol;Acc:MGI:2141920],7,33808968,33832693,-1,ortholog_one2one,1,WTIP,ENSG00000142279,WT1 interacting protein [Source:HGNC Symbol;Acc:HGNC:20964],19,34481758,34512304,1
Slmap,ENSMUSG00000021870,sarcolemma associated protein [Source:MGI Symbol;Acc:MGI:1933549],14,26134323,26256086,-1,ortholog_one2one,1,SLMAP,ENSG00000163681,sarcolemma associated protein [Source:HGNC Symbol;Acc:HGNC:16643],3,57755450,57930003,1
Lipf,ENSMUSG00000024768,"lipase, gastric [Source:MGI Symbol;Acc:MGI:1914967]",19,33938587,33954210,1,ortholog_one2one,1,LIPF,ENSG00000182333,"lipase F, gastric type [Source:HGNC Symbol;Acc:HGNC:6622]",10,88664441,88678814,1
Fam135b,ENSMUSG00000036800,"family with sequence similarity 135, member B [Source:MGI Symbol;Acc:MGI:1917613]",15,71303458,71599687,-1,ortholog_one2one,1,FAM135B,ENSG00000147724,family with sequence similarity 135 member B [Source:HGNC Symbol;Acc:HGNC:28029],8,138130023,138497261,-1
Nudt14,ENSMUSG00000002804,nudix (nucleoside diphosphate linked moiety X)-type motif 14 [Source:MGI Symbol;Acc:MGI:1913424],12,112897911,112905744,-1,ortholog_one2one,1,NUDT14,ENSG00000183828,nudix hydrolase 14 [Source:HGNC Symbol;Acc:HGNC:20141],14,105172938,105181323,-1
Ndrg2,ENSMUSG00000004558,N-myc downstream regulated gene 2 [Source:MGI Symbol;Acc:MGI:1352498],14,52142728,52151615,-1,ortholog_one2one,1,NDRG2,ENSG00000165795,NDRG family member 2 [Source:HGNC Symbol;Acc:HGNC:14460],14,21016763,21070872,-1
Tnfsfm13,ENSMUSG00000018752,"tumor necrosis factor (ligand) superfamily, membrane-bound member 13 [Source:MGI Symbol;Acc:MGI:3845075]",11,69573403,69586924,-1,ortholog_one2one,1,TNFSF12-TNFSF13,ENSG00000248871,TNFSF12-TNFSF13 readthrough [Source:HGNC Symbol;Acc:HGNC:33537],17,7549099,7561601,1
Ms4a15,ENSMUSG00000067571,"membrane-spanning 4-domains, subfamily A, member 15 [Source:MGI Symbol;Acc:MGI:3617853]",19,10955671,10970614,-1,ortholog_one2one,1,MS4A15,ENSG00000166961,membrane spanning 4-domains A15 [Source:HGNC Symbol;Acc:HGNC:28573],11,60756867,60776733,1
Cachd1,ENSMUSG00000028532,cache domain containing 1 [Source:MGI Symbol;Acc:MGI:2444177],4,100633872,100886417,1,ortholog_one2one,1,CACHD1,ENSG00000158966,cache domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29314],1,64470129,64693058,1
Sh2d4a,ENSMUSG00000053886,SH2 domain containing 4A [Source:MGI Symbol;Acc:MGI:1919531],8,68729219,68800351,1,ortholog_one2one,1,SH2D4A,ENSG00000104611,SH2 domain containing 4A [Source:HGNC Symbol;Acc:HGNC:26102],8,19313693,19396218,1
Tfr2,ENSMUSG00000029716,transferrin receptor 2 [Source:MGI Symbol;Acc:MGI:1354956],5,137568102,137585743,1,ortholog_one2one,1,TFR2,ENSG00000106327,transferrin receptor 2 [Source:HGNC Symbol;Acc:HGNC:11762],7,100620416,100642779,-1
Fbxo4,ENSMUSG00000022184,F-box protein 4 [Source:MGI Symbol;Acc:MGI:2146220],15,3994927,4009055,-1,ortholog_one2one,1,FBXO4,ENSG00000151876,F-box protein 4 [Source:HGNC Symbol;Acc:HGNC:13583],5,41925254,41941743,1
Ccdc34,ENSMUSG00000027160,coiled-coil domain containing 34 [Source:MGI Symbol;Acc:MGI:1915451],2,109848162,110003705,1,ortholog_one2one,1,CCDC34,ENSG00000109881,coiled-coil domain containing 34 [Source:HGNC Symbol;Acc:HGNC:25079],11,27330827,27363234,-1
Zp2,ENSMUSG00000030911,zona pellucida glycoprotein 2 [Source:MGI Symbol;Acc:MGI:99214],7,119725995,119744514,-1,ortholog_one2one,1,ZP2,ENSG00000103310,zona pellucida glycoprotein 2 [Source:HGNC Symbol;Acc:HGNC:13188],16,21197450,21214510,-1
Flrt2,ENSMUSG00000047414,fibronectin leucine rich transmembrane protein 2 [Source:MGI Symbol;Acc:MGI:3603594],12,95659000,95751989,1,ortholog_one2one,1,FLRT2,ENSG00000185070,fibronectin leucine rich transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:3761],14,85530144,85654428,1
Ajap1,ENSMUSG00000039546,adherens junction associated protein 1 [Source:MGI Symbol;Acc:MGI:2685419],4,153457678,153567268,-1,ortholog_one2one,1,AJAP1,ENSG00000196581,adherens junctions associated protein 1 [Source:HGNC Symbol;Acc:HGNC:30801],1,4654609,4792534,1
Mtus2,ENSMUSG00000029651,microtubule associated tumor suppressor candidate 2 [Source:MGI Symbol;Acc:MGI:1915388],5,147894130,148252875,1,ortholog_one2one,1,MTUS2,ENSG00000132938,microtubule associated scaffold protein 2 [Source:HGNC Symbol;Acc:HGNC:20595],13,28820339,29505947,1
Kdm6a,ENSMUSG00000037369,lysine (K)-specific demethylase 6A [Source:MGI Symbol;Acc:MGI:1095419],X,18028814,18146175,1,ortholog_one2one,1,KDM6A,ENSG00000147050,lysine demethylase 6A [Source:HGNC Symbol;Acc:HGNC:12637],X,44873188,45112779,1
Mir598,ENSMUSG00000076049,microRNA 598 [Source:MGI Symbol;Acc:MGI:3718554],14,63964638,63964716,1,ortholog_one2one,1,MIR598,ENSG00000207600,microRNA 598 [Source:HGNC Symbol;Acc:HGNC:32854],8,11035206,11035302,-1
C1qtnf12,ENSMUSG00000023571,C1q and tumor necrosis factor related 12 [Source:MGI Symbol;Acc:MGI:1914639],4,156046775,156051086,1,ortholog_one2one,1,C1QTNF12,ENSG00000184163,C1q and TNF related 12 [Source:HGNC Symbol;Acc:HGNC:32308],1,1242446,1246722,-1
Myh9,ENSMUSG00000022443,"myosin, heavy polypeptide 9, non-muscle [Source:MGI Symbol;Acc:MGI:107717]",15,77644787,77726375,-1,ortholog_one2one,1,MYH9,ENSG00000100345,myosin heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:7579],22,36281280,36388010,-1
Atp6v1a,ENSMUSG00000052459,"ATPase, H+ transporting, lysosomal V1 subunit A [Source:MGI Symbol;Acc:MGI:1201780]",16,43905765,43960068,-1,ortholog_one2one,1,ATP6V1A,ENSG00000114573,ATPase H+ transporting V1 subunit A [Source:HGNC Symbol;Acc:HGNC:851],3,113747033,113812056,1
Ptk7,ENSMUSG00000023972,PTK7 protein tyrosine kinase 7 [Source:MGI Symbol;Acc:MGI:1918711],17,46875397,46940430,-1,ortholog_one2one,1,PTK7,ENSG00000112655,protein tyrosine kinase 7 (inactive) [Source:HGNC Symbol;Acc:HGNC:9618],6,43076307,43161719,1
Snord8,ENSMUSG00000093044,"small nucleolar RNA, C/D box 8 [Source:MGI Symbol;Acc:MGI:3819556]",14,52447242,52447351,-1,ortholog_one2one,1,SNORD8,ENSG00000200785,"small nucleolar RNA, C/D box 8 [Source:HGNC Symbol;Acc:HGNC:20159]",14,21397292,21397401,-1
Ripor1,ENSMUSG00000038604,RHO family interacting cell polarization regulator 1 [Source:MGI Symbol;Acc:MGI:1922937],8,106331887,106348851,1,ortholog_one2one,1,RIPOR1,ENSG00000039523,RHO family interacting cell polarization regulator 1 [Source:HGNC Symbol;Acc:HGNC:25836],16,67518418,67546788,1
Svopl,ENSMUSG00000029830,SV2 related protein homolog (rat)-like [Source:MGI Symbol;Acc:MGI:2444335],6,37960674,38023931,-1,ortholog_one2one,1,SVOPL,ENSG00000157703,SVOP like [Source:HGNC Symbol;Acc:HGNC:27034],7,138594285,138701362,-1
Mepce,ENSMUSG00000029726,methylphosphate capping enzyme [Source:MGI Symbol;Acc:MGI:106477],5,137780168,137785917,-1,ortholog_one2one,1,MEPCE,ENSG00000146834,methylphosphate capping enzyme [Source:HGNC Symbol;Acc:HGNC:20247],7,100428790,100434118,1
Odf2l,ENSMUSG00000028256,outer dense fiber of sperm tails 2-like [Source:MGI Symbol;Acc:MGI:1098600],3,144824349,144859676,1,ortholog_one2one,1,ODF2L,ENSG00000122417,outer dense fiber of sperm tails 2 like [Source:HGNC Symbol;Acc:HGNC:29225],1,86346824,86396342,-1
Ruvbl1,ENSMUSG00000030079,RuvB-like protein 1 [Source:MGI Symbol;Acc:MGI:1928760],6,88442391,88474554,1,ortholog_one2one,1,RUVBL1,ENSG00000175792,RuvB like AAA ATPase 1 [Source:HGNC Symbol;Acc:HGNC:10474],3,128064778,128153914,-1
Tubgcp4,ENSMUSG00000027263,"tubulin, gamma complex associated protein 4 [Source:MGI Symbol;Acc:MGI:1196293]",2,121001135,121029251,1,ortholog_one2one,1,TUBGCP4,ENSG00000137822,tubulin gamma complex associated protein 4 [Source:HGNC Symbol;Acc:HGNC:16691],15,43369221,43409771,1
2700049A03Rik,ENSMUSG00000034601,RIKEN cDNA 2700049A03 gene [Source:MGI Symbol;Acc:MGI:1924217],12,71183622,71290077,1,ortholog_one2one,1,KIAA0586,ENSG00000100578,KIAA0586 [Source:HGNC Symbol;Acc:HGNC:19960],14,58427385,58551297,1
Htr7,ENSMUSG00000024798,5-hydroxytryptamine (serotonin) receptor 7 [Source:MGI Symbol;Acc:MGI:99841],19,35936134,36034907,-1,ortholog_one2one,1,HTR7,ENSG00000148680,5-hydroxytryptamine receptor 7 [Source:HGNC Symbol;Acc:HGNC:5302],10,90740823,90858039,-1
Dppa5a,ENSMUSG00000060461,developmental pluripotency associated 5A [Source:MGI Symbol;Acc:MGI:101800],9,78274334,78275459,-1,ortholog_one2one,1,DPPA5,ENSG00000203909,developmental pluripotency associated 5 [Source:HGNC Symbol;Acc:HGNC:19201],6,73353063,73354276,-1
Fbxo44,ENSMUSG00000029001,F-box protein 44 [Source:MGI Symbol;Acc:MGI:1354744],4,148237257,148244939,-1,ortholog_one2one,1,FBXO44,ENSG00000132879,F-box protein 44 [Source:HGNC Symbol;Acc:HGNC:24847],1,11654375,11663327,1
Lrrc17,ENSMUSG00000039883,leucine rich repeat containing 17 [Source:MGI Symbol;Acc:MGI:1921761],5,21748557,21780902,1,ortholog_one2one,1,LRRC17,ENSG00000128606,leucine rich repeat containing 17 [Source:HGNC Symbol;Acc:HGNC:16895],7,102913000,102945111,1
Nrg2,ENSMUSG00000060275,neuregulin 2 [Source:MGI Symbol;Acc:MGI:1098246],18,36150705,36330433,-1,ortholog_one2one,1,NRG2,ENSG00000158458,neuregulin 2 [Source:HGNC Symbol;Acc:HGNC:7998],5,139846779,140043299,-1
Ushbp1,ENSMUSG00000034911,USH1 protein network component harmonin binding protein 1 [Source:MGI Symbol;Acc:MGI:1922920],8,71836916,71848446,-1,ortholog_one2one,1,USHBP1,ENSG00000130307,USH1 protein network component harmonin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:24058],19,17249171,17282786,-1
Tle2,ENSMUSG00000034771,transducin-like enhancer of split 2 [Source:MGI Symbol;Acc:MGI:104635],10,81410395,81426679,1,ortholog_one2one,1,TLE2,ENSG00000065717,"TLE family member 2, transcriptional corepressor [Source:HGNC Symbol;Acc:HGNC:11838]",19,2997639,3047635,-1
Cox7c,ENSMUSG00000017778,cytochrome c oxidase subunit 7C [Source:MGI Symbol;Acc:MGI:103226],13,86192935,86195023,-1,ortholog_one2one,1,COX7C,ENSG00000127184,cytochrome c oxidase subunit 7C [Source:HGNC Symbol;Acc:HGNC:2292],5,86617928,86620962,1
Tc2n,ENSMUSG00000021187,"tandem C2 domains, nuclear [Source:MGI Symbol;Acc:MGI:1921663]",12,101611702,101684782,-1,ortholog_one2one,1,TC2N,ENSG00000165929,"tandem C2 domains, nuclear [Source:HGNC Symbol;Acc:HGNC:19859]",14,91779746,91867536,-1
Entr1,ENSMUSG00000026927,endosome associated trafficking regulator 1 [Source:MGI Symbol;Acc:MGI:1915362],2,26272814,26279328,-1,ortholog_one2one,1,ENTR1,ENSG00000165689,endosome associated trafficking regulator 1 [Source:HGNC Symbol;Acc:HGNC:10667],9,136401922,136410614,-1
Mthfd1l,ENSMUSG00000040675,methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like [Source:MGI Symbol;Acc:MGI:1924836],10,3923118,4117081,1,ortholog_one2one,1,MTHFD1L,ENSG00000120254,methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like [Source:HGNC Symbol;Acc:HGNC:21055],6,150865679,151101887,1
